date,time,open,high,low,close,value,ma7,ma24,datetime, diff ,cross,action,qty,balance
20220401,91000,364.1,364.5,362.65,362.65,2180949, 362.65 , 362.65 ,20220401T091000,,,,,
20220401,92000,362.65,362.7,362.15,362.3,1043180, 362.48 , 362.48 ,20220401T092000, - ,,,,
20220401,93000,362.3,362.35,361.75,362.2,851002, 362.38 , 362.38 ,20220401T093000, - ,,,,
20220401,94000,362.2,362.25,361.5,362.15,650918, 362.33 , 362.33 ,20220401T094000, - ,,,,
20220401,95000,362.2,362.4,362.15,362.35,447338, 362.33 , 362.33 ,20220401T095000, - ,,,,
20220401,100000,362.35,362.65,362,362.55,591785, 362.37 , 362.37 ,20220401T100000, - ,,,,
20220401,101000,362.55,362.75,362.35,362.5,434252, 362.39 , 362.39 ,20220401T101000, - ,,,,
20220401,102000,362.5,362.75,362.4,362.55,369841, 362.37 , 362.41 ,20220401T102000,-0.0348 ,,,,
20220401,103000,362.6,363.35,362.55,363.35,763694, 362.52 , 362.51 ,20220401T103000, 0.0103 ,1,buy,1,1
20220401,104000,363.35,363.7,362.95,363,729867, 362.64 , 362.56 ,20220401T104000, 0.0757 ,,,,
20220401,105000,363,363.15,362.8,362.95,335389, 362.75 , 362.60 ,20220401T105000, 0.1545 ,,,,
20220401,110000,362.95,363.3,362.95,363.15,281528, 362.86 , 362.64 ,20220401T110000, 0.2226 ,,,,
20220401,111000,363.2,363.5,363.1,363.35,336297, 362.98 , 362.70 ,20220401T111000, 0.2824 ,,,,
20220401,112000,363.35,363.4,363.1,363.35,291513, 363.10 , 362.74 ,20220401T112000, 0.3571 ,,,,
20220401,113000,363.35,363.45,363,363.1,235222, 363.18 , 362.77 ,20220401T113000, 0.4119 ,,,,
20220401,114000,363.15,363.8,363.1,363.75,350437, 363.24 , 362.83 ,20220401T114000, 0.4076 ,,,,
20220401,115000,363.75,364,363.6,363.95,310082, 363.37 , 362.89 ,20220401T115000, 0.4773 ,,,,
20220401,120000,363.95,364,363.6,363.7,227074, 363.48 , 362.94 ,20220401T120000, 0.5397 ,,,,
20220401,121000,363.7,363.9,363.55,363.65,182856, 363.55 , 362.98 ,20220401T121000, 0.5737 ,,,,
20220401,122000,363.65,363.9,363.6,363.85,143238, 363.62 , 363.02 ,20220401T122000, 0.6014 ,,,,
20220401,123000,363.85,363.95,363.75,363.8,182195, 363.69 , 363.06 ,20220401T123000, 0.6286 ,,,,
20220401,124000,363.8,363.85,363.5,363.6,187743, 363.76 , 363.08 ,20220401T124000, 0.6753 ,,,,
20220401,125000,363.6,363.75,363.4,363.6,206038, 363.74 , 363.10 ,20220401T125000, 0.6314 ,,,,
20220401,130000,363.6,363.65,363.45,363.55,138329, 363.68 , 363.12 ,20220401T130000, 0.5557 ,,,,
20220401,131000,363.55,363.75,363.45,363.5,189977, 363.65 , 363.16 ,20220401T131000, 0.4917 ,,,,
20220401,132000,363.5,363.55,363.35,363.4,167906, 363.61 , 363.20 ,20220401T132000, 0.4101 ,,,,
20220401,133000,363.35,363.5,363.25,363.4,186136, 363.55 , 363.25 ,20220401T133000, 0.2958 ,,,,
20220401,134000,363.4,363.5,363.15,363.15,164396, 363.46 , 363.30 ,20220401T134000, 0.1613 ,,,,
20220401,135000,363.15,363.3,362.95,363.2,334595, 363.40 , 363.33 ,20220401T135000, 0.0688 ,,,,
20220401,140000,363.15,363.25,362.95,363.15,253914, 363.34 , 363.36 ,20220401T140000,-0.0205 ,1,sell,1,0
20220401,141000,363.15,363.45,363.1,363.4,272596, 363.31 , 363.39 ,20220401T141000,-0.0795 ,,,,
20220401,142000,363.45,363.65,363.35,363.45,208574, 363.31 , 363.43 ,20220401T142000,-0.1241 ,,,,
20220401,143000,363.5,363.65,363.4,363.4,176671, 363.31 , 363.43 ,20220401T143000,-0.1262 ,,,,
20220401,144000,363.45,363.6,363.25,363.45,230310, 363.31 , 363.45 ,20220401T144000,-0.1378 ,,,,
20220401,145000,363.45,363.65,363.45,363.45,187970, 363.36 , 363.47 ,20220401T145000,-0.1158 ,,,,
20220401,150000,363.45,363.55,363.2,363.3,234114, 363.37 , 363.48 ,20220401T150000,-0.1077 ,,,,
20220401,151000,363.25,363.25,362.9,363,473381, 363.35 , 363.46 ,20220401T151000,-0.1146 ,,,,
20220401,152000,363,363.3,362.95,363.3,300466, 363.34 , 363.46 ,20220401T152000,-0.1268 ,,,,
20220401,153000,363.3,363.5,363.25,363.45,425817, 363.34 , 363.48 ,20220401T153000,-0.1414 ,,,,
20220401,154500,363.45,363.65,363.4,363.5,711284, 363.35 , 363.47 ,20220401T154500,-0.1167 ,,,,
20220404,91000,361.9,362.35,360.7,361.3,1804622, 363.04 , 363.36 ,20220404T091000,-0.3134 ,,,,
20220404,92000,361.3,362.65,361.25,362.35,1179068, 362.89 , 363.30 ,20220404T092000,-0.4143 ,,,,
20220404,93000,362.35,363.4,362.2,363.3,906333, 362.89 , 363.29 ,20220404T093000,-0.3997 ,,,,
20220404,94000,363.3,363.45,362.5,362.75,593265, 362.85 , 363.24 ,20220404T094000,-0.3896 ,,,,
20220404,95000,362.75,363.55,362.7,363.45,573770, 362.87 , 363.23 ,20220404T095000,-0.3536 ,,,,
20220404,100000,363.45,363.9,363.3,363.8,579561, 362.92 , 363.23 ,20220404T100000,-0.3119 ,,,,
20220404,101000,363.75,363.75,363.4,363.7,330491, 362.95 , 363.24 ,20220404T101000,-0.2875 ,,,,
20220404,102000,363.7,364.35,363.5,364.3,616818, 363.38 , 363.27 ,20220404T102000, 0.1098 ,1,buy,1,1
20220404,103000,364.3,364.55,364.05,364.2,487085, 363.64 , 363.30 ,20220404T103000, 0.3449 ,,,,
20220404,104000,364.2,364.55,364.05,364.2,319908, 363.77 , 363.33 ,20220404T104000, 0.4402 ,,,,
20220404,105000,364.15,364.2,363.85,363.9,264349, 363.94 , 363.35 ,20220404T105000, 0.5836 ,,,,
20220404,110000,363.95,364.3,363.8,363.9,290033, 364.00 , 363.38 ,20220404T110000, 0.6167 ,,,,
20220404,111000,363.9,364.35,363.85,364.3,293505, 364.07 , 363.43 ,20220404T111000, 0.6423 ,,,,
20220404,112000,364.25,364.75,364.2,364.25,420735, 364.15 , 363.48 ,20220404T112000, 0.6750 ,,,,
20220404,113000,364.25,364.4,364,364.1,213776, 364.12 , 363.50 ,20220404T113000, 0.6173 ,,,,
20220404,114000,364.1,364.3,364.05,364.1,121816, 364.11 , 363.53 ,20220404T114000, 0.5759 ,,,,
20220404,115000,364.1,364.4,364,364.35,136393, 364.13 , 363.57 ,20220404T115000, 0.5577 ,,,,
20220404,120000,364.35,364.55,364.2,364.45,193854, 364.21 , 363.61 ,20220404T120000, 0.5946 ,,,,
20220404,121000,364.4,364.45,364.1,364.2,105088, 364.25 , 363.64 ,20220404T121000, 0.6062 ,,,,
20220404,122000,364.2,364.4,364.05,364.4,145492, 364.26 , 363.69 ,20220404T122000, 0.5747 ,,,,
20220404,123000,364.4,364.4,364.05,364.1,156991, 364.24 , 363.74 ,20220404T123000, 0.5074 ,,,,
20220404,124000,364.1,364.25,364,364.15,119068, 364.25 , 363.77 ,20220404T124000, 0.4792 ,,,,
20220404,125000,364.15,364.35,364.1,364.3,121927, 364.28 , 363.81 ,20220404T125000, 0.4723 ,,,,
20220404,130000,364.3,364.5,364.25,364.3,145566, 364.27 , 363.84 ,20220404T130000, 0.4318 ,,,,
20220404,131000,364.35,364.65,364.3,364.45,241225, 364.27 , 363.97 ,20220404T131000, 0.3006 ,,,,
20220404,132000,364.5,364.5,364.15,364.3,174694, 364.29 , 364.05 ,20220404T132000, 0.2336 ,,,,
20220404,133000,364.3,364.55,364.25,364.5,90916, 364.30 , 364.10 ,20220404T133000, 0.1979 ,,,,
20220404,134000,364.5,364.55,364.3,364.35,124537, 364.34 , 364.17 ,20220404T134000, 0.1670 ,,,,
20220404,135000,364.35,364.45,364.35,364.45,64502, 364.38 , 364.21 ,20220404T135000, 0.1682 ,,,,
20220404,140000,364.45,364.55,364.25,364.5,133009, 364.41 , 364.24 ,20220404T140000, 0.1676 ,,,,
20220404,141000,364.55,364.6,364.3,364.4,154337, 364.42 , 364.27 ,20220404T141000, 0.1527 ,,,,
20220404,142000,364.4,364.5,364.3,364.5,133552, 364.43 , 364.28 ,20220404T142000, 0.1515 ,,,,
20220404,143000,364.5,364.7,364.4,364.5,264382, 364.46 , 364.29 ,20220404T143000, 0.1676 ,,,,
20220404,144000,364.55,365,364.55,364.9,465400, 364.51 , 364.32 ,20220404T144000, 0.1955 ,,,,
20220404,145000,364.9,365.3,364.9,365.2,416552, 364.64 , 364.37 ,20220404T145000, 0.2628 ,,,,
20220404,150000,365.2,365.5,365.1,365.3,349433, 364.76 , 364.43 ,20220404T150000, 0.3259 ,,,,
20220404,151000,365.35,365.4,365.15,365.2,393924, 364.86 , 364.47 ,20220404T151000, 0.3884 ,,,,
20220404,152000,365.2,365.3,365.1,365.2,272075, 364.97 , 364.51 ,20220404T152000, 0.4631 ,,,,
20220404,153000,365.2,365.4,365.1,365.2,361755, 365.07 , 364.55 ,20220404T153000, 0.5173 ,,,,
20220404,154500,365.25,365.5,365.2,365.5,701884, 365.21 , 364.61 ,20220404T154500, 0.6018 ,,,,
20220405,91000,366.2,367.1,365.45,365.45,1844220, 365.29 , 364.66 ,20220405T091000, 0.6345 ,,,,
20220405,92000,365.45,365.45,364.2,364.3,1436506, 365.16 , 364.65 ,20220405T092000, 0.5122 ,,,,
20220405,93000,364.35,364.5,364,364.3,830946, 365.02 , 364.66 ,20220405T093000, 0.3652 ,,,,
20220405,94000,364.25,364.55,363.75,364.4,842349, 364.91 , 364.66 ,20220405T094000, 0.2509 ,,,,
20220405,95000,364.4,364.4,363.8,364.05,524985, 364.74 , 364.65 ,20220405T095000, 0.0887 ,,,,
20220405,100000,364.05,364.45,364.05,364.45,397297, 364.64 , 364.67 ,20220405T100000,-0.0310 ,1,sell,1,0
20220405,101000,364.45,364.55,364.1,364.35,371030, 364.47 , 364.67 ,20220405T101000,-0.1973 ,,,,
20220405,102000,364.35,364.55,364.25,364.45,240344, 364.33 , 364.68 ,20220405T102000,-0.3464 ,,,,
20220405,103000,364.4,364.45,363.9,364,346218, 364.29 , 364.66 ,20220405T103000,-0.3705 ,,,,
20220405,104000,364.05,364.4,364,364.35,234268, 364.29 , 364.66 ,20220405T104000,-0.3655 ,,,,
20220405,105000,364.35,364.4,364.05,364.35,225809, 364.29 , 364.65 ,20220405T105000,-0.3664 ,,,,
20220405,110000,364.35,364.85,364.35,364.65,545346, 364.37 , 364.66 ,20220405T110000,-0.2932 ,,,,
20220405,111000,364.65,364.95,364.6,364.7,299243, 364.41 , 364.68 ,20220405T111000,-0.2679 ,,,,
20220405,112000,364.7,364.8,364.55,364.75,148509, 364.46 , 364.69 ,20220405T112000,-0.2211 ,,,,
20220405,113000,364.7,364.85,364.5,364.55,216708, 364.48 , 364.69 ,20220405T113000,-0.2131 ,,,,
20220405,114000,364.5,364.8,364.45,364.7,153331, 364.58 , 364.70 ,20220405T114000,-0.1214 ,,,,
20220405,115000,364.7,364.9,364.6,364.8,160494, 364.64 , 364.71 ,20220405T115000,-0.0696 ,,,,
20220405,120000,364.8,364.8,364.6,364.75,116340, 364.70 , 364.71 ,20220405T120000,-0.0063 ,,,,
20220405,121000,364.75,365.2,364.7,365,281492, 364.75 , 364.70 ,20220405T121000, 0.0521 ,1,buy,1,1
20220405,122000,365,365.45,364.95,365.4,302757, 364.85 , 364.70 ,20220405T122000, 0.1479 ,,,,
20220405,123000,365.4,365.45,364.85,364.85,301896, 364.86 , 364.69 ,20220405T123000, 0.1768 ,,,,
20220405,124000,364.85,364.9,364.5,364.65,306877, 364.88 , 364.66 ,20220405T124000, 0.2140 ,,,,
20220405,125000,364.65,364.75,364.6,364.7,114877, 364.88 , 364.64 ,20220405T125000, 0.2348 ,,,,
20220405,130000,364.7,364.85,364.55,364.8,166491, 364.88 , 364.61 ,20220405T130000, 0.2640 ,,,,
20220405,131000,364.75,364.8,364.65,364.75,102307, 364.88 , 364.59 ,20220405T131000, 0.2932 ,,,,
20220405,132000,364.75,364.8,364.45,364.5,163160, 364.81 , 364.59 ,20220405T132000, 0.2134 ,,,,
20220405,133000,364.5,364.75,364.35,364.45,259544, 364.67 , 364.60 ,20220405T133000, 0.0714 ,,,,
20220405,134000,364.45,364.75,364.45,364.65,220769, 364.64 , 364.61 ,20220405T134000, 0.0324 ,,,,
20220405,135000,364.65,364.75,364.45,364.7,166622, 364.65 , 364.64 ,20220405T135000, 0.0125 ,,,,
20220405,140000,364.75,365,364.65,364.95,283307, 364.69 , 364.66 ,20220405T140000, 0.0274 ,,,,
20220405,141000,365,365.05,364.75,364.75,216227, 364.68 , 364.68 ,20220405T141000, 0.0036 ,,,,
20220405,142000,364.75,365.2,364.7,365.15,240174, 364.74 , 364.70 ,20220405T142000, 0.0315 ,,,,
20220405,143000,365.1,365.25,364.95,365,236690, 364.81 , 364.75 ,20220405T143000, 0.0613 ,,,,
20220405,144000,365.05,365.15,364.95,365.05,147114, 364.89 , 364.78 ,20220405T144000, 0.1179 ,,,,
20220405,145000,365.05,365.1,364.9,364.95,204214, 364.94 , 364.80 ,20220405T145000, 0.1357 ,,,,
20220405,150000,364.95,365.25,364.9,364.95,352766, 364.97 , 364.81 ,20220405T150000, 0.1589 ,,,,
20220405,151000,364.95,365.4,364.95,365.35,288697, 365.03 , 364.84 ,20220405T151000, 0.1890 ,,,,
20220405,152000,365.4,365.4,365,365.2,312862, 365.09 , 364.86 ,20220405T152000, 0.2345 ,,,,
20220405,153000,365.2,365.3,365.1,365.2,222317, 365.10 , 364.89 ,20220405T153000, 0.2146 ,,,,
20220405,154500,365.15,365.3,364.95,365.3,547175, 365.14 , 364.91 ,20220405T154500, 0.2324 ,,,,
20220406,91000,361.8,362.6,361.5,361.65,2138106, 364.66 , 364.78 ,20220406T091000,-0.1220 ,1,sell,1,0
20220406,92000,361.65,362.9,361.4,362.9,1236038, 364.36 , 364.70 ,20220406T092000,-0.3378 ,,,,
20220406,93000,362.9,363,362.25,362.35,698962, 363.99 , 364.59 ,20220406T093000,-0.5988 ,,,,
20220406,94000,362.35,362.75,362,362.3,602507, 363.56 , 364.46 ,20220406T094000,-0.9054 ,,,,
20220406,95000,362.3,362.4,361.15,361.45,1009821, 363.02 , 364.32 ,20220406T095000,-1.2994 ,,,,
20220406,100000,361.45,361.75,361.2,361.6,456828, 362.51 , 364.19 ,20220406T100000,-1.6866 ,,,,
20220406,101000,361.6,362.25,361.5,362.05,520385, 362.04 , 364.08 ,20220406T101000,-2.0405 ,,,,
20220406,102000,362.1,362.5,361.9,362.5,587823, 362.16 , 363.99 ,20220406T102000,-1.8232 ,,,,
20220406,103000,362.5,362.75,362.35,362.4,545428, 362.09 , 363.89 ,20220406T103000,-1.7967 ,,,,
20220406,104000,362.4,362.55,362,362.1,415723, 362.06 , 363.79 ,20220406T104000,-1.7324 ,,,,
20220406,105000,362.05,362.15,361.5,361.6,549415, 361.96 , 363.67 ,20220406T105000,-1.7137 ,,,,
20220406,110000,361.6,361.85,360.75,360.85,881209, 361.87 , 363.51 ,20220406T110000,-1.6411 ,,,,
20220406,111000,360.8,361.25,360.75,361.1,557341, 361.80 , 363.36 ,20220406T111000,-1.5625 ,,,,
20220406,112000,361.1,361.2,360.85,361,314449, 361.65 , 363.20 ,20220406T112000,-1.5479 ,,,,
20220406,113000,361,361.25,361,361.15,264882, 361.46 , 363.05 ,20220406T113000,-1.5908 ,,,,
20220406,114000,361.15,361.45,361.05,361.35,287479, 361.31 , 362.89 ,20220406T114000,-1.5824 ,,,,
20220406,115000,361.35,361.4,360.95,360.95,185297, 361.14 , 362.72 ,20220406T115000,-1.5780 ,,,,
20220406,120000,360.95,361.1,360.95,361.05,149104, 361.06 , 362.55 ,20220406T120000,-1.4899 ,,,,
20220406,121000,361,361.25,360.9,361.2,193610, 361.11 , 362.40 ,20220406T121000,-1.2836 ,,,,
